SEX,How many times do you eat a day?,How many hours a day do you sleep?,How many times per week do you eat fastfood?,Average number of steps per day?,Cow's milk,Vegetable drinks (eg soy milk),Low-fat white yogurt,Fresh cheeses,Meat,Processed Meat (es prosciutto),Fish,Eggs,Legumes,Cooked vegetables,Raw vegetables,Fruits,Whole grains food,Nuts,Tofu,Do you eat differently at the weekend?,Do you play a sport (at least 5 hours/week)?,When are you hungry during the day?,What kind of snacks do you prefer?,Do you ever eat distracted or not at the table?,Do you eat fast?,Do you happen to eat uncontrollably even if you're not hungry?,Do you wake up to eat at night?,How do you sleep at night?,"You like salty or sweet? (where 10 - ""I love salt and hate sweet"" and 1 - ""I am the biggest fan of sweet"")",Do you eat alone or togheter?,Age,How many liters of water do you drink per day?,How many times do you consume alcoholic beverages in a week?,How stress affects on your eating habits?,How many sugary drinks do you consume per day?,Do you ever miss meals?
Ж,4,7-8,1,7000-10000,Нет,Нет,Нет,Да,Да,Иногда,Да,Да,Иногда,Иногда,Да,Да,Да,Да,Не знаю,"Да, я ем в ресторанах",Нет,"Утром, До обеда, Перед ужином",Сладости,Да,Нет,Никогда,Никогда,Хорошо,5,Часто с кем-то,15-20,2,0,Начинаю есть меньше,3,"Да, обед"
Ж,3,7-8,3,10000-15000,Иногда,Да,Нет,Да,Нет,Нет,Да,Иногда,Иногда,Да,Да,Да,Да,Иногда,Иногда,Нет,Нет,"До обеда, Перед ужином","Бутерброды/сэндвичи, Батончики, хлебцы",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,"Я с трудом засыпаю, Я просыпаюсь несколько раз за ночь",5,Часто в одиночестве,21-30,3,0,Начинаю есть меньше,5,"Да, завтрак, Да, из-за нехватки времени"
М,5,7-8,3,7000-10000,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,"Да, я ем в ресторанах",Да,"До обеда, Перед ужином","Сладости, Фрукты, овощи, Батончики, хлебцы",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,7,Часто с кем-то,15-20,2,0,Никак не влияет,2,"Да, ужин"
Ж,4,5-6,2,4000-7000,Да,Иногда,Да,Да,Да,Не знаю,Нет,Да,Нет,Иногда,Да,Да,Да,Да,Нет,"Да, я ем в ресторанах",Нет,"Днем, После ужина",Сладости,Да,Да,Каждый день,Никогда,Хорошо,3,"Часто с кем-то, Часто в одиночестве",15-20,0,0,Начинаю есть больше,0,"Да, из-за нехватки времени"
Ж,2,7-8,3,0-4000,Да,Иногда,Иногда,Нет,Да,Нет,Иногда,Да,Да,Да,Да,Да,Да,Да,Иногда,Нет,Нет,"Когда я просыпаюсь, До обеда, Перед ужином",Бутерброды/сэндвичи,Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,5,"Часто с кем-то, В одиночестве во время обеда",15-20,1,0,Никак не влияет,0,"Да, из-за нехватки времени"
Ж,4,7-8,1,4000-7000,Да,Иногда,Иногда,Иногда,Да,Иногда,Да,Да,Иногда,Да,Да,Да,Да,Да,Нет,Нет,Нет,"Утром, Днем, Перед ужином","Сладости, Фрукты, овощи, Бутерброды/сэндвичи",Да,Нет,Часто (больше 1 раза в неделю),Нечасто (около 1-го раза в месяц),Я с трудом засыпаю,3,Часто в одиночестве,15-20,1,1,Начинаю есть больше,0,"Да, из-за нехватки времени"
Ж,3,7-8,1,4000-7000,Иногда,Иногда,Иногда,Иногда,Да,Не знаю,Иногда,Да,Иногда,Да,Да,Да,Да,Да,Нет,"Да, я больше ем дома",Нет,"Когда я просыпаюсь, До обеда, Перед ужином","Сладости, Бутерброды/сэндвичи",Да,Да,Часто (больше 1 раза в неделю),Никогда,Я просыпаюсь несколько раз за ночь,4,Часто в одиночестве,15-20,1,0,Начинаю есть больше,0,"Да, из-за нехватки времени"
Ж,3,9-10,0,4000-7000,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Иногда,Да,Да,Да,Да,Да,Иногда,Нет,Да,"Когда я просыпаюсь, Утром, Днем, До обеда, Перед ужином","Фрукты, овощи, Батончики, хлебцы",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,5,"Часто с кем-то, В одиночестве во время завтрака",15-20,2,0,Начинаю есть больше,0,"Нет, Я всегда голоден"
Ж,3,7-8,0,4000-7000,Да,Нет,Нет,Да,Да,Не знаю,Иногда,Да,Да,Да,Да,Да,Да,Иногда,Нет,Нет,Нет,"Когда я просыпаюсь, До обеда, Перед ужином","Сладости, Фрукты, овощи",Да,Да,Часто (больше 1 раза в неделю),Никогда,Хорошо,5,"Часто в одиночестве, В одиночестве во время завтрака, В одиночестве во время ужина",15-20,1,0,Начинаю есть больше,3,Нет
Ж,3,7-8,1,0-4000,Иногда,Иногда,Иногда,Да,Да,Иногда,Иногда,Да,Иногда,Иногда,Да,Да,Нет,Нет,Иногда,Нет,Нет,"Когда я просыпаюсь, Перед ужином",Бутерброды/сэндвичи,Да,Да,Часто (больше 1 раза в неделю),Никогда,Хорошо,5,"Часто с кем-то, В одиночестве во время завтрака",15-20,1,0,Начинаю есть больше,0,"Да, обед, Да, из-за нехватки времени"
Ж,2,7-8,0,0-4000,Иногда,Нет,Да,Иногда,Да,Иногда,Иногда,Да,Иногда,Да,Да,Да,Да,Иногда,Нет,"Да, я больше ем дома",Нет,"Когда я просыпаюсь, Перед ужином",У меня нет перекусов в течение дня,Нет,Нет,Часто (больше 1 раза в неделю),Никогда,Хорошо,5,Часто с кем-то,15-20,2,0,Начинаю есть больше,0,"Да, завтрак"
Ж,3,7-8,1,4000-7000,Нет,Нет,Нет,Нет,Да,Не знаю,Да,Да,Да,Да,Да,Да,Да,Да,Иногда,Нет,Нет,"Утром, До обеда, Перед ужином","Фрукты, овощи, Батончики, хлебцы",Да,Да,Часто (больше 1 раза в неделю),Никогда,Я с трудом засыпаю,5,Часто в одиночестве,15-20,3,1,Начинаю есть больше,0,"Да, из-за нехватки времени"
Ж,3,7-8,0,4000-7000,Иногда,Иногда,Да,Да,Да,Иногда,Да,Да,Иногда,Да,Да,Да,Да,Да,Нет,Я готовлю более изысканно,Нет,"После обеда, Перед ужином","Сладости, Фрукты, овощи, Бутерброды/сэндвичи",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,4,"Часто с кем-то, В одиночестве во время завтрака",15-20,1,0,Никак не влияет,2,"Да, обед, Да, из-за нехватки времени"
М,3,7-8,3,4000-7000,Да,Нет,Иногда,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Иногда,"Да, я ем в ресторанах",Да,"Утром, До обеда, Перед ужином",Бутерброды/сэндвичи,Да,Да,Никогда,Нечасто (около 1-го раза в месяц),Я с трудом засыпаю,5,"Часто с кем-то, В одиночестве во время обеда, В одиночестве во время ужина",15-20,3,1,Никак не влияет,2,"Да, завтрак"
Ж,4,7-8,2,7000-10000,Да,Нет,Не знаю,Да,Да,Нет,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Я готовлю более изысканно,Нет,Перед ужином,"Сладости, Фрукты, овощи, Орехи, Бутерброды/сэндвичи",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,5,Часто в одиночестве,15-20,1,0,Никак не влияет,1,"Да, из-за нехватки времени"
Ж,2,5-6,2,4000-7000,Да,Да,Иногда,Да,Да,Иногда,Да,Да,Иногда,Да,Да,Да,Да,Да,Иногда,"Да, я больше ем дома",Нет,"Утром, Перед ужином","Бутерброды/сэндвичи, Батончики, хлебцы",Да,Нет,Часто (больше 1 раза в неделю),Нечасто (около 1-го раза в месяц),Я с трудом засыпаю,5,Часто в одиночестве,21-30,1,4,Начинаю есть больше,2,"Да, обед, Да, из-за нехватки времени"
Ж,3,5-6,0,4000-7000,Да,Да,Да,Иногда,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Иногда,Нет,Нет,"Когда я просыпаюсь, До обеда, Перед ужином",Сладости,Да,Да,Часто (больше 1 раза в неделю),Никогда,Я с трудом засыпаю,6,Часто в одиночестве,15-20,1,0,Никак не влияет,2,Нет
М,2,9-10,1,4000-7000,Иногда,Нет,Не знаю,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Иногда,"Да, я ем в ресторанах",Нет,"Утром, Перед ужином","Сладости, Фрукты, овощи, Орехи, Бутерброды/сэндвичи, Батончики, хлебцы",Да,Нет,Часто (больше 1 раза в неделю),Никогда,Я с трудом засыпаю,4,Часто в одиночестве,15-20,2,1,Начинаю есть меньше,7,"Да, обед, Да, из-за нехватки времени"
Ж,4,7-8,3,7000-10000,Да,Иногда,Нет,Да,Да,Да,Иногда,Да,Иногда,Да,Да,Да,Да,Иногда,Нет,"Да, я больше ем дома",Да,"Утром, До обеда, Перед ужином","Сладости, Бутерброды/сэндвичи",Да,Да,Часто (больше 1 раза в неделю),Никогда,Хорошо,2,"Часто с кем-то, Часто в одиночестве",21-30,2,1,Начинаю есть больше,0,Нет
Ж,3,больше,4,4000-7000,Да,Да,Нет,Иногда,Нет,Нет,Да,Да,Да,Иногда,Иногда,Да,Да,Иногда,Да,Нет,Нет,Днем,"Батончики, хлебцы",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Я с трудом засыпаю,7,Часто в одиночестве,21-30,1,0,Начинаю есть больше,1,Нет
Ж,3,5-6,1,7000-10000,Иногда,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Иногда,Нет,"Да, я больше ем дома",Да,"До обеда, После ужина","Фрукты, овощи, Батончики, хлебцы",Да,Нет,Никогда,Никогда,Хорошо,5,Часто с кем-то,15-20,4,0,Начинаю есть больше,0,Нет
Ж,4,7-8,0,0-4000,Да,Нет,Иногда,Да,Да,Иногда,Да,Да,Да,Да,Да,Да,Да,Иногда,Нет,Я готовлю более изысканно,Нет,"Утром, До обеда, Перед ужином","Фрукты, овощи, Бутерброды/сэндвичи",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,4,Часто с кем-то,15-20,1,0,Начинаю есть больше,0,Нет
Ж,3,9-10,1,4000-7000,Нет,Да,Да,Да,Да,Да,Иногда,Иногда,Иногда,Да,Да,Да,Да,Да,Нет,Нет,Нет,"Днем, Перед ужином","Сладости, Фрукты, овощи, Орехи",Да,Нет,Никогда,Никогда,Я с трудом засыпаю,6,Часто с кем-то,15-20,1,0,Начинаю есть меньше,0,Нет
Ж,2,7-8,0,4000-7000,Иногда,Нет,Иногда,Да,Да,Нет,Иногда,Да,Да,Иногда,Да,Да,Да,Иногда,Нет,Нет,Да,"Днем, Перед ужином","Сладости, Орехи, Бутерброды/сэндвичи, Батончики, хлебцы",Да,Да,Часто (больше 1 раза в неделю),Никогда,Я просыпаюсь несколько раз за ночь,5,"Часто с кем-то, В одиночестве во время завтрака",15-20,1,1,Начинаю есть меньше,0,"Да, ужин"
Ж,4,7-8,1,0-4000,Да,Иногда,Иногда,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Иногда,Я готовлю более изысканно,Нет,"Утром, До обеда, Перед ужином","Сладости, Фрукты, овощи, Орехи, Бутерброды/сэндвичи",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,5,Часто в одиночестве,21-30,2,0,Начинаю есть больше,0,Нет
М,3,7-8,3,7000-10000,Да,Иногда,Да,Иногда,Да,Не знаю,Да,Да,Да,Да,Не знаю,Да,Да,Да,Нет,Нет,Да,"Утром, До обеда, Перед ужином","Фрукты, овощи, Бутерброды/сэндвичи, Батончики, хлебцы",Да,Нет,Никогда,Никогда,"Я с трудом засыпаю, Я просыпаюсь несколько раз за ночь",5,Часто в одиночестве,15-20,2,2,Начинаю есть больше,2,Нет
Ж,2,7-8,0,0-4000,Иногда,Нет,Иногда,Да,Да,Да,Иногда,Да,Да,Да,Да,Да,Да,Да,Иногда,Нет,Нет,Перед ужином,"Фрукты, овощи, Орехи",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,5,Часто с кем-то,21-30,2,0,Начинаю есть меньше,0,"Да, обед"
Ж,3,7-8,0,4000-7000,Да,Иногда,Да,Да,Да,Да,Да,Да,Иногда,Да,Да,Да,Да,Да,Иногда,"Да, я больше ем дома",Нет,"До обеда, Перед ужином","Сладости, Фрукты, овощи, Орехи, Батончики, хлебцы",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,5,"Часто с кем-то, Часто в одиночестве",15-20,2,0,Начинаю есть больше,0,"Да, из-за нехватки времени"
Ж,3,7-8,1,4000-7000,Нет,Да,Иногда,Да,Да,Иногда,Иногда,Да,Иногда,Иногда,Да,Иногда,Иногда,Иногда,Иногда,Нет,Нет,"Утром, До обеда, Перед ужином","Сладости, Бутерброды/сэндвичи",Да,Нет,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,5,Часто с кем-то,15-20,1,0,Начинаю есть больше,1,"Да, обед"
Ж,2,7-8,1,10000-15000,Да,Иногда,Иногда,Иногда,Да,Не знаю,Да,Да,Да,Да,Иногда,Да,Да,Иногда,Иногда,"Да, я ем в ресторанах",Да,Я всегда голоден,"Фрукты, овощи, Бутерброды/сэндвичи, Батончики, хлебцы",Да,Да,Никогда,Никогда,Хорошо,6,Часто с кем-то,15-20,1,0,Никак не влияет,2,"Да, из-за нехватки времени"
Ж,3,5-6,0,7000-10000,Нет,Иногда,Иногда,Да,Да,Не знаю,Да,Да,Да,Да,Да,Да,Да,Да,Не знаю,Нет,Да,Утром,"Батончики, хлебцы",Да,Да,Часто (больше 1 раза в неделю),Никогда,Я просыпаюсь несколько раз за ночь,2,Часто в одиночестве,21-30,2,1,Начинаю есть больше,0,Нет
Ж,4,2-4,0,7000-10000,Иногда,Нет,Нет,Да,Да,Нет,Иногда,Да,Нет,Да,Да,Да,Да,Да,Да,"Да, я ем в ресторанах",Нет,До обеда,У меня нет перекусов в течение дня,Да,Да,Каждый день,Никогда,Я с трудом засыпаю,4,Часто с кем-то,15-20,2,0,Начинаю есть больше,0,"Да, завтрак, Да, из-за нехватки времени"
Ж,2,7-8,2,4000-7000,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,"Да, я ем в ресторанах",Да,Днем,"Сладости, Фрукты, овощи, Орехи, Бутерброды/сэндвичи, Батончики, хлебцы",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,5,"Часто с кем-то, В одиночестве во время завтрака",15-20,1,1,Начинаю есть меньше,0,"Да, обед, Да, из-за нехватки времени"
Ж,3,5-6,1,7000-10000,Да,Иногда,Иногда,Да,Да,Иногда,Да,Да,Да,Да,Да,Да,Да,Да,Иногда,"Да, я ем в ресторанах",Нет,Я всегда голоден,Бутерброды/сэндвичи,Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Я с трудом засыпаю,5,Часто с кем-то,15-20,1,1,Начинаю есть меньше,1,Нет
Ж,3,7-8,3,4000-7000,Иногда,Да,Да,Да,Да,Да,Да,Да,Иногда,Да,Да,Да,Да,Да,Нет,"Да, я больше ем дома",Нет,"Когда я просыпаюсь, Утром, До обеда, Перед ужином","Сладости, Фрукты, овощи",Да,Нет,Никогда,Никогда,Хорошо,5,Часто в одиночестве,15-20,2,0,Начинаю есть больше,2,Нет
Ж,3,9-10,0,7000-10000,Да,Нет,Нет,Иногда,Да,Иногда,Да,Да,Да,Да,Да,Да,Да,Иногда,Нет,Нет,Да,"Когда я просыпаюсь, Утром, До обеда, Перед ужином","Фрукты, овощи, Орехи, Бутерброды/сэндвичи, Батончики, хлебцы",Да,Нет,Часто (больше 1 раза в неделю),Нечасто (около 1-го раза в месяц),"Хорошо, Я с трудом засыпаю",5,Часто в одиночестве,15-20,2,1,Начинаю есть больше,0,"Да, завтрак"
Ж,3,7-8,1,4000-7000,Да,Иногда,Да,Да,Да,Да,Да,Да,Иногда,Да,Да,Да,Да,Иногда,Нет,Я готовлю более изысканно,Нет,"До обеда, Перед ужином","Сладости, Фрукты, овощи, Бутерброды/сэндвичи",Да,Нет,Нечасто (около 1-го раза в месяц),Никогда,Я просыпаюсь несколько раз за ночь,6,"Часто с кем-то, В одиночестве во время завтрака",15-20,1,0,Начинаю есть больше,0,"Да, обед, Да, из-за нехватки времени"
М,5,9-10,2,7000-10000,Нет,Нет,Нет,Да,Да,Да,Иногда,Да,Иногда,Иногда,Иногда,Иногда,Иногда,Нет,Нет,"Да, я больше ем дома",Нет,"Когда я просыпаюсь, Днем, Перед ужином",Бутерброды/сэндвичи,Да,Нет,Нечасто (около 1-го раза в месяц),Никогда,Я с трудом засыпаю,10,"Часто в одиночестве, В одиночестве во время обеда, В одиночестве во время ужина",15-20,4,0,У меня нет стресса,0,Нет
Ж,3,7-8,0,0-4000,Да,Не знаю,Нет,Да,Да,Нет,Да,Нет,Да,Иногда,Да,Иногда,Да,Иногда,Нет,Нет,Нет,"Утром, Днем, Перед ужином","Сладости, Фрукты, овощи",Да,Да,Никогда,Никогда,Хорошо,5,В одиночестве во время завтрака,15-20,1,1,Начинаю есть больше,6,Нет
Ж,3,7-8,0,4000-7000,Нет,Да,Нет,Иногда,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,"Утром, Перед ужином","Фрукты, овощи, Орехи",Нет,Нет,Нечасто (около 1-го раза в месяц),Никогда,Я просыпаюсь несколько раз за ночь,3,"Часто в одиночестве, В одиночестве во время завтрака",31-50,1,0,Начинаю есть меньше,0,Нет
М,3,9-10,1,7000-10000,Да,Иногда,Нет,Да,Да,Да,Иногда,Да,Нет,Иногда,Да,Да,Да,Иногда,Нет,"Да, я ем в ресторанах",Да,"Днем, Перед ужином","Фрукты, овощи, Бутерброды/сэндвичи",Да,Да,Нечасто (около 1-го раза в месяц),Нечасто (около 1-го раза в месяц),Хорошо,7,В одиночестве во время завтрака,15-20,3,1,У меня нет стресса,0,"Да, обед"
М,4,5-6,1,4000-7000,Да,Нет,Иногда,Иногда,Да,Да,Иногда,Да,Да,Да,Иногда,Иногда,Иногда,Иногда,Нет,Нет,Да,После ужина,Бутерброды/сэндвичи,Да,Нет,Никогда,Никогда,Я с трудом засыпаю,3,"Часто в одиночестве, В одиночестве во время ужина",15-20,2,0,Начинаю есть меньше,1,"Да, завтрак"
М,4,5-6,0,0-4000,Иногда,Нет,Да,Иногда,Да,Иногда,Да,Да,Нет,Иногда,Иногда,Да,Да,Иногда,Нет,Я готовлю более изысканно,Нет,Перед ужином,"Фрукты, овощи, Бутерброды/сэндвичи",Нет,Да,Нечасто (около 1-го раза в месяц),Никогда,"Я с трудом засыпаю, Я просыпаюсь несколько раз за ночь",5,Часто в одиночестве,51-65,3,2,Начинаю есть больше,1,Нет
Ж,4,7-8,3,7000-10000,Да,Да,Да,Иногда,Да,Да,Да,Да,Иногда,Иногда,Да,Да,Да,Да,Да,"Да, я ем в ресторанах",Да,Днем,"Фрукты, овощи",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,5,Часто с кем-то,15-20,2,1,Начинаю есть больше,0,"Да, из-за нехватки времени"
Ж,3,5-6,0,0-4000,Иногда,Иногда,Да,Иногда,Да,Да,Да,Да,Иногда,Иногда,Да,Да,Да,Нет,Иногда,Я готовлю более изысканно,Нет,Перед ужином,"Фрукты, овощи",Да,Да,Часто (больше 1 раза в неделю),Никогда,Хорошо,5,Часто с кем-то,31-50,1,2,Начинаю есть больше,0,"Да, завтрак"
Ж,1,9-10,2,4000-7000,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Иногда,Иногда,"Да, я ем в ресторанах",Нет,До обеда,"Сладости, Фрукты, овощи, Бутерброды/сэндвичи",Да,Нет,Никогда,Никогда,"Я с трудом засыпаю, Я просыпаюсь несколько раз за ночь, Я просыпаюсь намного раньше, чем хотелось бы",10,"Часто с кем-то, Часто в одиночестве, В одиночестве во время завтрака",15-20,1,2,Начинаю есть меньше,0,"Да, завтрак, Да, обед"
Ж,3,7-8,1,4000-7000,Да,Нет,Нет,Нет,Да,Нет,Иногда,Да,Иногда,Да,Да,Да,Да,Да,Нет,Нет,Нет,До обеда,Сладости,Да,Нет,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,7,"Часто с кем-то, В одиночестве во время завтрака",31-50,1,0,Начинаю есть больше,2,Нет
Ж,3,7-8,5,0-4000,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Иногда,Да,Да,Иногда,Да,Иногда,Нет,"Да, я ем в ресторанах",Нет,Днем,Бутерброды/сэндвичи,Да,Да,Каждый день,Никогда,Хорошо,5,"Часто с кем-то, Часто в одиночестве",15-20,1,2,Начинаю есть больше,1,"Да, завтрак"
Ж,4,5-6,3,4000-7000,Да,Иногда,Иногда,Да,Да,Иногда,Иногда,Иногда,Иногда,Иногда,Да,Иногда,Иногда,Нет,Нет,"Да, я больше ем дома",Нет,Я всегда голоден,"Сладости, Бутерброды/сэндвичи",Да,Да,Часто (больше 1 раза в неделю),Нечасто (около 1-го раза в месяц),Я с трудом засыпаю,5,Часто в одиночестве,21-30,2,0,Начинаю есть больше,1,Я всегда голоден
Ж,5,5-6,1,7000-10000,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Иногда,Иногда,Иногда,Да,Иногда,Нет,"Да, я больше ем дома",Нет,До обеда,"Сладости, Орехи, Бутерброды/сэндвичи, Батончики, хлебцы",Да,Да,Часто (больше 1 раза в неделю),Никогда,"Я просыпаюсь несколько раз за ночь, Я просыпаюсь намного раньше, чем хотелось бы",7,"Часто с кем-то, Часто в одиночестве",15-20,2,0,Начинаю есть больше,0,"Да, из-за нехватки времени"
