SEX,How many times do you eat a day?,How many hours a day do you sleep?,How many times per week do you eat fastfood?,Average number of steps per day?,Cow's milk,Vegetable drinks (eg soy milk),Low-fat white yogurt,Fresh cheeses,Meat,Processed Meat (es prosciutto),Fish,Eggs,Legumes,Cooked vegetables,Raw vegetables,Fruits,Whole grains food,Nuts,Tofu,Do you eat differently at the weekend?,Do you play a sport (at least 5 hours/week)?,"When are you hungry during the day?","What kind of snacks do you prefer?",Do you ever eat distracted or not at the table?,Do you eat fast?,Do you happen to eat uncontrollably even if you're not hungry?,Do you wake up to eat at night?,"How do you sleep at night?",You like salty or sweet? (where 10 - "I love salt and hate sweet" and 1 - "I am the biggest fan of sweet"),"Do you eat alone or togheter?",Age,How many liters of water do you drink per day?,How many times do you consume alcoholic beverages in a week?,How stress affects on your eating habits?,How many sugary drinks do you consume per day?,"Do you ever miss meals?"
M,4,7-8,5,10000-15000,Sometimes,No,No,Yes,Yes,Yes,No,Sometimes,Sometimes,Yes,Sometimes,Sometimes,Sometimes,No,No,Yes I eat at restaurants,Yes,"During the morning,Before lunch,Before Dinner","Sandwiches",Yes,Yes,Often (>1/week),Never,"I wake up a lot sooner than I would like",2,"Often Alone",21-30,3,3,I'm starting to eat more,2,"Yes breakfast,I have no time"
F,2,9-10,0,10000-15000,No,No,No,No,Sometimes,No,Sometimes,Yes,No,Sometimes,Yes,Yes,Yes,No,No,Yes I eat at restaurants,No,"In the afternoon,After Dinner","Sweets",Yes,Yes,Never,Never,"Good",3,"Often Alone",31-50,1,0,I'm starting to eat less,1,"Yes dinner"
F,4,7-8,1,7000-10000,No,No,No,Yes,Yes,Sometimes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,Don't know,Yes I eat at restaurants,No,"During the morning,Before lunch,Before Dinner","Sweets",Yes,No,Never,Never,"Good",5,"Often Together",15-20,2,0,I'm starting to eat less,3,"Yes lunch"
F,3,7-8,3,10000-15000,Sometimes,Yes,No,Yes,No,No,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,No,No,"Before lunch,Before Dinner","Sandwiches,Bars,breads",Yes,Yes,Infrequent (1/month),Never,"I struggle to fall asleep,I wake up several times during the night",5,"Often Alone",21-30,3,0,I'm starting to eat less,5,"Yes breakfast,I have no time"
M,5,7-8,3,7000-10000,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes I eat at restaurants,Yes,"Before lunch,Before Dinner","Sweets,Fruits,vegetables,Bars,breads",Yes,Yes,Infrequent (1/month),Never,"Good",7,"Often Together",15-20,2,0,Doesn't have any effect,2,"Yes dinner"
F,4,5-6,2,4000-7000,Yes,Sometimes,Yes,Yes,Yes,Don't know,No,Yes,No,Sometimes,Yes,Yes,Yes,Yes,No,Yes I eat at restaurants,No,"In the afternoon,After Dinner","Sweets",Yes,Yes,Every day,Never,"Good",3,"Often Together,Often Alone",15-20,0,0,I'm starting to eat more,0,"I have no time"
F,2,7-8,3,0-4000,Yes,Sometimes,Sometimes,No,Yes,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,No,"When I wake Up,Before lunch,Before Dinner","Sandwiches",Yes,Yes,Infrequent (1/month),Never,"Good",5,"Often Together,Alone at lunch",15-20,1,0,Doesn't have any effect,0,"I have no time"
F,4,7-8,1,4000-7000,Yes,Sometimes,Sometimes,Sometimes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,No,No,"During the morning,In the afternoon,Before Dinner","Sweets,Fruits,vegetables,Sandwiches",Yes,No,Often (>1/week),Infrequent (1/month),"I struggle to fall asleep",3,"Often Alone",15-20,1,1,I'm starting to eat more,0,"I have no time"
F,3,7-8,1,4000-7000,Sometimes,Sometimes,Sometimes,Sometimes,Yes,Don't know,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,Yes I eat more at home,No,"When I wake Up,Before lunch,Before Dinner","Sweets,Sandwiches",Yes,Yes,Often (>1/week),Never,"I wake up several times during the night",4,"Often Alone",15-20,1,0,I'm starting to eat more,0,"I have no time"
F,3,9-10,0,4000-7000,No,Yes,No,No,Yes,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,Yes,"When I wake Up,During the morning,In the afternoon,Before lunch,Before Dinner","Fruits,vegetables,Bars,breads",Yes,Yes,Infrequent (1/month),Never,"Good",5,"Often Together,Alone at breakfast",15-20,2,0,I'm starting to eat more,0,"No,I'm always hungry"
F,3,7-8,0,4000-7000,Yes,No,No,Yes,Yes,Don't know,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,No,No,"When I wake Up,Before lunch,Before Dinner","Sweets,Fruits,vegetables",Yes,Yes,Often (>1/week),Never,"Good",5,"Often Alone,Alone at breakfast,Alone at dinner",15-20,1,0,I'm starting to eat more,3,"No"
F,3,7-8,1,0-4000,Sometimes,Sometimes,Sometimes,Yes,Yes,Sometimes,Sometimes,Yes,Sometimes,Sometimes,Yes,Yes,No,No,Sometimes,No,No,"When I wake Up,Before Dinner","Sandwiches",Yes,Yes,Often (>1/week),Never,"Good",5,"Often Together,Alone at breakfast",15-20,1,0,I'm starting to eat more,0,"Yes lunch,I have no time"
F,2,7-8,0,0-4000,Sometimes,No,Yes,Sometimes,Yes,Sometimes,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,No,Yes I eat more at home,No,"When I wake Up,Before Dinner","Yes for craving",No,No,Often (>1/week),Never,"Good",5,"Often Together",15-20,2,0,I'm starting to eat more,0,"Yes breakfast"
F,3,7-8,1,4000-7000,No,No,No,No,Yes,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,No,"During the morning,Before lunch,Before Dinner","Fruits,vegetables,Bars,breads",Yes,Yes,Often (>1/week),Never,"I struggle to fall asleep",5,"Often Alone",15-20,3,1,I'm starting to eat more,0,"I have no time"
F,3,7-8,0,4000-7000,Sometimes,Sometimes,Yes,Yes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,I cook more elaborate,No,"After lunch,Before Dinner","Sweets,Fruits,vegetables,Sandwiches",Yes,Yes,Infrequent (1/month),Never,"Good",4,"Often Together,Alone at breakfast",15-20,1,0,Doesn't have any effect,2,"Yes lunch,I have no time"
M,3,7-8,3,4000-7000,Yes,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes I eat at restaurants,Yes,"During the morning,Before lunch,Before Dinner","Sandwiches",Yes,Yes,Never,Infrequent (1/month),"I struggle to fall asleep",5,"Often Together,Alone at lunch,Alone at dinner",15-20,3,1,Doesn't have any effect,2,"Yes breakfast"
F,4,7-8,2,7000-10000,Yes,No,Don't know,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,I cook more elaborate,No,"Before Dinner","Sweets,Fruits,vegetables,Nuts,Sandwiches",Yes,Yes,Infrequent (1/month),Never,"Good",5,"Often Alone",15-20,1,0,Doesn't have any effect,1,"I have no time"
F,2,5-6,2,4000-7000,Yes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes I eat more at home,No,"During the morning,Before Dinner","Sandwiches,Bars,breads",Yes,No,Often (>1/week),Infrequent (1/month),"I struggle to fall asleep",5,"Often Alone",21-30,1,4,I'm starting to eat more,2,"Yes lunch,I have no time"
F,3,5-6,0,4000-7000,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,No,"When I wake Up,Before lunch,Before Dinner","Sweets",Yes,Yes,Often (>1/week),Never,"I struggle to fall asleep",6,"Often Alone",15-20,1,0,Doesn't have any effect,2,"No"
M,2,9-10,1,4000-7000,Sometimes,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes I eat at restaurants,No,"During the morning,Before Dinner","Sweets,Fruits,vegetables,Nuts,Sandwiches,Bars,breads",Yes,No,Often (>1/week),Never,"I struggle to fall asleep",4,"Often Alone",15-20,2,1,I'm starting to eat less,7,"Yes lunch,I have no time"
F,4,7-8,3,7000-10000,Yes,Sometimes,No,Yes,Yes,Yes,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,No,Yes I eat more at home,Yes,"During the morning,Before lunch,Before Dinner","Sweets,Sandwiches",Yes,Yes,Often (>1/week),Never,"Good",2,"Often Together,Often Alone",21-30,2,1,I'm starting to eat more,0,"No"
F,3,More,4,4000-7000,Yes,Yes,No,Sometimes,No,No,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Sometimes,Yes,No,No,"In the afternoon","Bars,breads",Yes,Yes,Infrequent (1/month),Never,"I struggle to fall asleep",7,"Often Alone",21-30,1,0,I'm starting to eat more,1,"No"
F,3,5-6,1,7000-10000,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Sometimes,No,Yes I eat more at home,Yes,"Before lunch,After Dinner","Fruits,vegetables,Bars,breads",Yes,No,Never,Never,"Good",5,"Often Together",15-20,4,0,I'm starting to eat more,0,"No"
F,4,7-8,0,0-4000,Yes,No,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,I cook more elaborate,No,"During the morning,Before lunch,Before Dinner","Fruits,vegetables,Sandwiches",Yes,Yes,Infrequent (1/month),Never,"Good",4,"Often Together",15-20,1,0,I'm starting to eat more,0,"No"
F,3,9-10,1,4000-7000,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,No,No,"In the afternoon,Before Dinner","Sweets,Fruits,vegetables,Nuts",Yes,No,Never,Never,"I struggle to fall asleep",6,"Often Together",15-20,1,0,I'm starting to eat less,0,"No"
F,2,7-8,0,4000-7000,Sometimes,No,Sometimes,Yes,Yes,No,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Sometimes,No,No,Yes,"In the afternoon,Before Dinner","Sweets,Nuts,Sandwiches,Bars,breads",Yes,Yes,Often (>1/week),Never,"I wake up several times during the night",5,"Often Together,Alone at breakfast",15-20,1,1,I'm starting to eat less,0,"Yes dinner"
F,4,7-8,1,0-4000,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,I cook more elaborate,No,"During the morning,Before lunch,Before Dinner","Sweets,Fruits,vegetables,Nuts,Sandwiches",Yes,Yes,Infrequent (1/month),Never,"Good",5,"Often Alone",21-30,2,0,I'm starting to eat more,0,"No"
M,3,7-8,3,7000-10000,Yes,Sometimes,Yes,Sometimes,Yes,Don't know,Yes,Yes,Yes,Yes,Don't know,Yes,Yes,Yes,No,No,Yes,"During the morning,Before lunch,Before Dinner","Fruits,vegetables,Sandwiches,Bars,breads",Yes,No,Never,Never,"I struggle to fall asleep,I wake up several times during the night",5,"Often Alone",15-20,2,2,I'm starting to eat more,2,"No"
F,2,7-8,0,0-4000,Sometimes,No,Sometimes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,No,"Before Dinner","Fruits,vegetables,Nuts",Yes,Yes,Infrequent (1/month),Never,"Good",5,"Often Together",21-30,2,0,I'm starting to eat less,0,"Yes lunch"
F,3,7-8,0,4000-7000,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes I eat more at home,No,"Before lunch,Before Dinner","Sweets,Fruits,vegetables,Nuts,Bars,breads",Yes,Yes,Infrequent (1/month),Never,"Good",5,"Often Together,Often Alone",15-20,2,0,I'm starting to eat more,0,"I have no time"
F,3,7-8,1,4000-7000,No,Yes,Sometimes,Yes,Yes,Sometimes,Sometimes,Yes,Sometimes,Sometimes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,No,No,"During the morning,Before lunch,Before Dinner","Sweets,Sandwiches",Yes,No,Infrequent (1/month),Never,"Good",5,"Often Together",15-20,1,0,I'm starting to eat more,1,"Yes lunch"
F,2,7-8,1,10000-15000,Yes,Sometimes,Sometimes,Sometimes,Yes,Don't know,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Sometimes,Sometimes,Yes I eat at restaurants,Yes,"I'm always hungry","Fruits,vegetables,Sandwiches,Bars,breads",Yes,Yes,Never,Never,"Good",6,"Often Together",15-20,1,0,Doesn't have any effect,2,"I have no time"
F,3,5-6,0,7000-10000,No,Sometimes,Sometimes,Yes,Yes,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,No,Yes,"During the morning","Bars,breads",Yes,Yes,Often (>1/week),Never,"I wake up several times during the night",2,"Often Alone",21-30,2,1,I'm starting to eat more,0,"No"
F,4,2-4,0,7000-10000,Sometimes,No,No,Yes,Yes,No,Sometimes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes I eat at restaurants,No,"Before lunch","Yes for craving",Yes,Yes,Every day,Never,"I struggle to fall asleep",4,"Often Together",15-20,2,0,I'm starting to eat more,0,"Yes breakfast,I have no time"
F,2,7-8,2,4000-7000,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes I eat at restaurants,Yes,"In the afternoon","Sweets,Fruits,vegetables,Nuts,Sandwiches,Bars,breads",Yes,Yes,Infrequent (1/month),Never,"Good",5,"Often Together,Alone at breakfast",15-20,1,1,I'm starting to eat less,0,"Yes lunch,I have no time"
F,3,5-6,1,7000-10000,Yes,Sometimes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes I eat at restaurants,No,"I'm always hungry","Sandwiches",Yes,Yes,Infrequent (1/month),Never,"I struggle to fall asleep",5,"Often Together",15-20,1,1,I'm starting to eat less,1,"No"
F,3,7-8,3,4000-7000,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,Yes I eat more at home,No,"When I wake Up,During the morning,Before lunch,Before Dinner","Sweets,Fruits,vegetables",Yes,No,Never,Never,"Good",5,"Often Alone",15-20,2,0,I'm starting to eat more,2,"No"
F,3,9-10,0,7000-10000,Yes,No,No,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,No,Yes,"When I wake Up,During the morning,Before lunch,Before Dinner","Fruits,vegetables,Nuts,Sandwiches,Bars,breads",Yes,No,Often (>1/week),Infrequent (1/month),"Good,I struggle to fall asleep",5,"Often Alone",15-20,2,1,I'm starting to eat more,0,"Yes breakfast"
F,3,7-8,1,4000-7000,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,No,I cook more elaborate,No,"Before lunch,Before Dinner","Sweets,Fruits,vegetables,Sandwiches",Yes,No,Infrequent (1/month),Never,"I wake up several times during the night",6,"Often Together,Alone at breakfast",15-20,1,0,I'm starting to eat more,0,"Yes lunch,I have no time"
M,5,9-10,2,7000-10000,No,No,No,Yes,Yes,Yes,Sometimes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,No,No,Yes I eat more at home,No,"When I wake Up,In the afternoon,Before Dinner","Sandwiches",Yes,No,Infrequent (1/month),Never,"I struggle to fall asleep",10,"Often Alone,Alone at lunch,Alone at dinner",15-20,4,0,I have no stress,0,"No"
F,3,7-8,0,0-4000,Yes,Don't know,No,Yes,Yes,No,Yes,No,Yes,Sometimes,Yes,Sometimes,Yes,Sometimes,No,No,No,"During the morning,In the afternoon,Before Dinner","Sweets,Fruits,vegetables",Yes,Yes,Never,Never,"Good",5,"Alone at breakfast",15-20,1,1,I'm starting to eat more,6,"No"
F,3,7-8,0,4000-7000,No,Yes,No,Sometimes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"During the morning,Before Dinner","Fruits,vegetables,Nuts",No,No,Infrequent (1/month),Never,"I wake up several times during the night",3,"Often Alone,Alone at breakfast",31-50,1,0,I'm starting to eat less,0,"No"
M,3,9-10,1,7000-10000,Yes,Sometimes,No,Yes,Yes,Yes,Sometimes,Yes,No,Sometimes,Yes,Yes,Yes,Sometimes,No,Yes I eat at restaurants,Yes,"In the afternoon,Before Dinner","Fruits,vegetables,Sandwiches",Yes,Yes,Infrequent (1/month),Infrequent (1/month),"Good",7,"Alone at breakfast",15-20,3,1,I have no stress,0,"Yes lunch"
M,4,5-6,1,4000-7000,Yes,No,Sometimes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,No,No,Yes,"After Dinner","Sandwiches",Yes,No,Never,Never,"I struggle to fall asleep",3,"Often Alone,Alone at dinner",15-20,2,0,I'm starting to eat less,1,"Yes breakfast"
M,4,5-6,0,0-4000,Sometimes,No,Yes,Sometimes,Yes,Sometimes,Yes,Yes,No,Sometimes,Sometimes,Yes,Yes,Sometimes,No,I cook more elaborate,No,"Before Dinner","Fruits,vegetables,Sandwiches",No,Yes,Infrequent (1/month),Never,"I struggle to fall asleep,I wake up several times during the night",5,"Often Alone",51-65,3,2,I'm starting to eat more,1,"No"
F,4,7-8,3,7000-10000,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes I eat at restaurants,Yes,"In the afternoon","Fruits,vegetables",Yes,Yes,Infrequent (1/month),Never,"Good",5,"Often Together",15-20,2,1,I'm starting to eat more,0,"I have no time"
F,3,5-6,0,0-4000,Sometimes,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,No,Sometimes,I cook more elaborate,No,"Before Dinner","Fruits,vegetables",Yes,Yes,Often (>1/week),Never,"Good",5,"Often Together",31-50,1,2,I'm starting to eat more,0,"Yes breakfast"
F,1,9-10,2,4000-7000,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Yes I eat at restaurants,No,"Before lunch","Sweets,Fruits,vegetables,Sandwiches",Yes,No,Never,Never,"I struggle to fall asleep,I wake up several times during the night,I wake up a lot sooner than I would like",10,"Often Together,Often Alone,Alone at breakfast",15-20,1,2,I'm starting to eat less,0,"Yes breakfast,Yes lunch"
F,3,7-8,1,4000-7000,Yes,No,No,No,Yes,No,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,No,No,"Before lunch","Sweets",Yes,No,Infrequent (1/month),Never,"Good",7,"Often Together,Alone at breakfast",31-50,1,0,I'm starting to eat more,2,"No"
F,3,7-8,5,0-4000,No,No,Yes,Yes,Yes,Yes,No,No,Sometimes,Yes,Yes,Sometimes,Yes,Sometimes,No,Yes I eat at restaurants,No,"In the afternoon","Sandwiches",Yes,Yes,Every day,Never,"Good",5,"Often Together,Often Alone",15-20,1,2,I'm starting to eat more,1,"Yes breakfast"
F,4,5-6,3,4000-7000,Yes,Sometimes,Sometimes,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Yes,Sometimes,Sometimes,No,No,Yes I eat more at home,No,"I'm always hungry","Sweets,Sandwiches",Yes,Yes,Often (>1/week),Infrequent (1/month),"I struggle to fall asleep",5,"Often Alone",21-30,2,0,I'm starting to eat more,1,"I'm always hungry"
F,5,5-6,1,7000-10000,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Sometimes,Sometimes,Sometimes,Yes,Sometimes,No,Yes I eat more at home,No,"Before lunch","Sweets,Nuts,Sandwiches,Bars,breads",Yes,Yes,Often (>1/week),Never,"I wake up several times during the night,I wake up a lot sooner than I would like",7,"Often Together,Often Alone",15-20,2,0,I'm starting to eat more,0,"I have no time"
F,3,7-8,2,0-4000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"After lunch,Before Dinner","Fruits,vegetables,Sandwiches",Yes,No,Never,Never,"I struggle to fall asleep",8,"Often Together",15-20,1,1,I'm starting to eat less,0,"I have no time"
F,3,9-10,0,4000-7000,Sometimes,No,Sometimes,Yes,Yes,No,Sometimes,Sometimes,No,Sometimes,Sometimes,Yes,Yes,No,No,No,No,"During the morning,After Dinner","Fruits,vegetables",Yes,Yes,Often (>1/week),Never,"I struggle to fall asleep",6,"Often Alone,Alone at breakfast",15-20,1,0,I'm starting to eat more,0,"No"
F,4,5-6,1,4000-7000,Yes,No,No,Yes,Yes,No,Sometimes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,"When I wake Up","Sweets,Fruits,vegetables,Sandwiches,Bars,breads",Yes,No,Often (>1/week),Never,"Good",10,"Often Together",21-30,2,1,I'm starting to eat more,1,"No"
F,1,5-6,2,0-4000,Sometimes,No,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Yes,Yes,Sometimes,No,No,No,"In the afternoon","Sweets,Fruits,vegetables",Yes,Yes,Infrequent (1/month),Never,"I struggle to fall asleep,I wake up several times during the night",5,"Often Together",15-20,1,0,I'm starting to eat less,1,"No"
F,2,7-8,1,4000-7000,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes I eat more at home,Yes,"When I wake Up","Fruits,vegetables,Sandwiches",Yes,Yes,Infrequent (1/month),Never,"I struggle to fall asleep,I wake up several times during the night",9,"Often Alone",15-20,1,0,I'm starting to eat less,1,"Yes breakfast,Yes lunch,Yes dinner"
F,3,7-8,0,15000+,Yes,No,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Sometimes,No,No,Yes,"Before lunch,Before Dinner","Sweets,Fruits,vegetables,Nuts",Yes,No,Often (>1/week),Never,"Good",7,"Often Alone",21-30,2,0,I'm starting to eat more,0,"I have no time"
F,2,7-8,0,4000-7000,Yes,No,Sometimes,Sometimes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Yes,Sometimes,Sometimes,Yes I eat more at home,No,"In the afternoon,Before lunch","Sandwiches",Yes,No,Infrequent (1/month),Never,"I struggle to fall asleep",5,"Often Together",31-50,1,1,I'm starting to eat less,1,"Yes breakfast,I have no time"
F,4,7-8,1,10000-15000,Yes,No,Yes,Yes,No,Yes,Sometimes,Yes,Sometimes,Sometimes,Yes,No,No,No,No,Yes I eat at restaurants,No,"In the afternoon,Before Dinner","Sandwiches",Yes,Yes,Often (>1/week),Never,"I struggle to fall asleep",10,"Often Alone",15-20,4,5,I'm starting to eat less,0,"Yes breakfast"
